🏎️ ITALIAN GRAND PRIX 2022

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. LEC (Ferrari) - 18.0 pts - Status: Finished
3.0. RUS (Mercedes) - 15.0 pts - Status: Finished
4.0. SAI (Ferrari) - 12.0 pts - Status: Finished
5.0. HAM (Mercedes) - 10.0 pts - Status: Finished
6.0. PER (Red Bull Racing) - 9.0 pts - Status: Finished
7.0. NOR (McLaren) - 6.0 pts - Status: Finished
8.0. GAS (AlphaTauri) - 4.0 pts - Status: Finished
9.0. DEV (Williams) - 2.0 pts - Status: Finished
10.0. ZHO (Alfa Romeo) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. LEC (Ferrari) - Q3: 0 days 00:01:20.161000
2.0. VER (Red Bull Racing) - Q3: 0 days 00:01:20.306000
3.0. SAI (Ferrari) - Q3: 0 days 00:01:20.429000
4.0. PER (Red Bull Racing) - Q3: 0 days 00:01:21.206000
5.0. HAM (Mercedes) - Q3: 0 days 00:01:21.524000

🛞 Tire Stints:
Driver Compound  Stint
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     SOFT    3.0
   RUS     SOFT    3.0
   RUS     SOFT    3.0
   RUS     SOFT    3.0
   RUS     SOFT    3.0
   RUS     SOFT    3.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
   BOT     SOFT    2.0
