🏎️ FRENCH GRAND PRIX 2022

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. HAM (Mercedes) - 18.0 pts - Status: Finished
3.0. RUS (Mercedes) - 15.0 pts - Status: Finished
4.0. PER (Red Bull Racing) - 12.0 pts - Status: Finished
5.0. SAI (Ferrari) - 11.0 pts - Status: Finished
6.0. ALO (Alpine) - 8.0 pts - Status: Finished
7.0. NOR (McLaren) - 6.0 pts - Status: Finished
8.0. OCO (Alpine) - 4.0 pts - Status: Finished
9.0. RIC (McLaren) - 2.0 pts - Status: Finished
10.0. STR (Aston Martin) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. LEC (Ferrari) - Q3: 0 days 00:01:30.872000
2.0. VER (Red Bull Racing) - Q3: 0 days 00:01:31.176000
3.0. PER (Red Bull Racing) - Q3: 0 days 00:01:31.335000
4.0. HAM (Mercedes) - Q3: 0 days 00:01:31.765000
5.0. NOR (McLaren) - Q3: 0 days 00:01:32.032000

🛞 Tire Stints:
Driver Compound  Stint
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
   BOT   MEDIUM    3.0
