🏎️ MEXICO CITY GRAND PRIX 2022

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. HAM (Mercedes) - 18.0 pts - Status: Finished
3.0. PER (Red Bull Racing) - 15.0 pts - Status: Finished
4.0. RUS (Mercedes) - 13.0 pts - Status: Finished
5.0. SAI (Ferrari) - 10.0 pts - Status: Finished
6.0. LEC (Ferrari) - 8.0 pts - Status: Finished
7.0. RIC (McLaren) - 6.0 pts - Status: +1 Lap
8.0. OCO (Alpine) - 4.0 pts - Status: +1 Lap
9.0. NOR (McLaren) - 2.0 pts - Status: +1 Lap
10.0. BOT (Alfa Romeo) - 1.0 pts - Status: +1 Lap

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:17.775000
2.0. RUS (Mercedes) - Q3: 0 days 00:01:18.079000
3.0. HAM (Mercedes) - Q3: 0 days 00:01:18.084000
4.0. PER (Red Bull Racing) - Q3: 0 days 00:01:18.128000
5.0. SAI (Ferrari) - Q3: 0 days 00:01:18.351000

🛞 Tire Stints:
Driver Compound  Stint
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   NOR     HARD    2.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM   MEDIUM    1.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   HAM     HARD    2.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC     SOFT    1.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   MSC   MEDIUM    2.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET     SOFT    1.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   VET   MEDIUM    2.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI     SOFT    1.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   SAI   MEDIUM    2.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     HARD    2.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS   MEDIUM    1.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     HARD    2.0
   RUS     SOFT    3.0
   RUS     SOFT    3.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT   MEDIUM    1.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
