🏎️ BAHRAIN GRAND PRIX 2023

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. PER (Red Bull Racing) - 18.0 pts - Status: Finished
3.0. ALO (Aston Martin) - 15.0 pts - Status: Finished
4.0. SAI (Ferrari) - 12.0 pts - Status: Finished
5.0. HAM (Mercedes) - 10.0 pts - Status: Finished
6.0. STR (Aston Martin) - 8.0 pts - Status: Finished
7.0. RUS (Mercedes) - 6.0 pts - Status: Finished
8.0. BOT (Alfa Romeo) - 4.0 pts - Status: Finished
9.0. GAS (Alpine) - 2.0 pts - Status: Finished
10.0. ALB (Williams) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:29.708000
2.0. PER (Red Bull Racing) - Q3: 0 days 00:01:29.846000
3.0. LEC (Ferrari) - Q3: 0 days 00:01:30
4.0. SAI (Ferrari) - Q3: 0 days 00:01:30.154000
5.0. ALO (Aston Martin) - Q3: 0 days 00:01:30.336000

🛞 Tire Stints:
Driver Compound  Stint
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   RUS     HARD    3.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     SOFT    1.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    2.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   BOT     HARD    3.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
   PIA     SOFT    1.0
