🏎️ SPANISH GRAND PRIX 2022

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. PER (Red Bull Racing) - 19.0 pts - Status: Finished
3.0. RUS (Mercedes) - 15.0 pts - Status: Finished
4.0. SAI (Ferrari) - 12.0 pts - Status: Finished
5.0. HAM (Mercedes) - 10.0 pts - Status: Finished
6.0. BOT (Alfa Romeo) - 8.0 pts - Status: Finished
7.0. OCO (Alpine) - 6.0 pts - Status: Finished
8.0. NOR (McLaren) - 4.0 pts - Status: Finished
9.0. ALO (Alpine) - 2.0 pts - Status: +1 Lap
10.0. TSU (AlphaTauri) - 1.0 pts - Status: +1 Lap

🏁 Qualifying Top 5:
1.0. LEC (Ferrari) - Q3: 0 days 00:01:18.750000
2.0. VER (Red Bull Racing) - Q3: 0 days 00:01:19.073000
3.0. SAI (Ferrari) - Q3: 0 days 00:01:19.166000
4.0. RUS (Mercedes) - Q3: 0 days 00:01:19.393000
5.0. PER (Red Bull Racing) - Q3: 0 days 00:01:19.420000

🛞 Tire Stints:
Driver Compound  Stint
   MSC     SOFT    2.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   MSC   MEDIUM    3.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    1.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR     SOFT    2.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR   MEDIUM    3.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   STR     SOFT    4.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT     SOFT    1.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT   MEDIUM    2.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    3.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   LAT     SOFT    4.0
   MAG     SOFT    1.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG   MEDIUM    2.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   MAG     HARD    3.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB     SOFT    1.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB   MEDIUM    2.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB     SOFT    3.0
   ALB   MEDIUM    4.0
   ALB   MEDIUM    4.0
   ALB   MEDIUM    4.0
   ALB   MEDIUM    4.0
   ALB   MEDIUM    4.0
   ALB   MEDIUM    4.0
   ALB   MEDIUM    4.0
   ALB   MEDIUM    4.0
   ALB   MEDIUM    4.0
   ALB     SOFT    5.0
   ALB     SOFT    5.0
   ALB     SOFT    5.0
   ALB     SOFT    5.0
   ALB     SOFT    5.0
   ALB     SOFT    5.0
   ALB     SOFT    5.0
   ALB     SOFT    5.0
   ALB     SOFT    5.0
   ALB     SOFT    5.0
   ZHO     SOFT    1.0
   ZHO     SOFT    1.0
   ZHO     SOFT    1.0
   ZHO     SOFT    1.0
   ZHO     SOFT    1.0
   ZHO     SOFT    1.0
   ZHO     SOFT    1.0
   ZHO     SOFT    1.0
   ZHO     SOFT    1.0
   ZHO     SOFT    1.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   ZHO   MEDIUM    2.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
